wav_file,label,transcription
Ses04M_script03_2_F050,0,marry you again ? huh .
Ses03F_impro06_F031,2,yeah . god i loved that kid .
Ses03M_script01_1_M033,1,because it is .
Ses01F_script02_1_F003,2,what flashlight ?
Ses04F_script01_1_F012,0,you can t say that to him .
Ses05M_script01_2_F011,1,no because if she he s not coming back then i ll kill myself . laugh ! laugh at me !
Ses04F_impro08_F010,1,i understand sir . i will explain to them what the situa 
Ses04F_impro05_M007,1,at this moment in time all i can do for you is give you 
Ses04F_script02_2_F026,2,no .
Ses05F_impro08_F000,2,hi sir . how can i help you ?
Ses05F_impro03_M040,2,exactly .
Ses04F_impro05_F010,0,yeah well that s got everything i have in it .
Ses01M_impro06_M015,2,it s just really weird because he was really young you know and it kind of like . . .
Ses05M_script01_1b_M012,1,all right . all right just listen .
Ses04M_script01_2_F008,0,she s not his girl joe . she knows she s not .
Ses02F_script02_1_F014,1,what are you so excited about ? i mean it s not a moon landing we re talking about here . it s fish . it s a fish nobody even eats .
Ses03F_script03_2_M020,0,yes it is .
Ses04M_script02_1_F008,0,there is no point in coming down here .
Ses03F_script03_2_M008,0,that s a nice point of view i must say .
Ses03M_impro05a_M029,0,my name is brent caption .
Ses04M_script01_2_F014,0,laugh . laugh at me . but why did that happen the very night that she came here ?
Ses02M_script03_2_M031,0,we can get a good little debate going about that don t you think ? intemperate tots .
Ses03M_impro04_M006,1,you know what ? i ve been working at temp jobs for the past six months . you know how degrading it is ?
Ses03M_script02_2_M046,2,or not .
Ses02F_impro07_M006,2,yeah no definitely it s gonna . .
Ses05F_script03_2_M037,0,turn it off . it is driving me mad .
Ses03M_script03_1_F005,2,that sent shivers up my spine .
Ses02M_script02_1_F018,0,last year you ll also remember our shoes got wet i got sand in my panties you got a sore throat we got into a big fight over nothing and we didn t see the grunions .
Ses05F_script02_2_M031,2,no i know me either .
Ses05M_impro03_M015,2,it was a lot of fun it was a lot of fun . she s great . and i m so happy .
Ses03M_impro07_F009,2,oh man i am so proud of you that is . . .how did you get . . .i mean what did you do ? how did you find out or what . . . ?
Ses03M_impro01_M011,0,i m not going anywhere . i m staying right here .
Ses02M_script02_1_M032,1,and then last year i remember specifically you were so excited that you stubbed your toe on the way pushing me out of the house and you didn t even notice until we got in the car .
Ses01M_script01_1_F043,0,well i can see that .
Ses05M_impro08_M002,2,you ve lost your connection .
Ses01F_script02_1_M022,1,no no . okay . that s not my point . my point is there is no point in coming down here if we just turn around and go home . don t you want to see it ?
Ses01F_script02_2_M006,2,carla can i ask you something ? now don t take this the wrong way but are you on your period ?
Ses05M_script01_1_M024,1,i don t know why it is but everytime i reach out for something i that i want i have to pull back because i might hurt somebody else . my whole bloody life time after time after time .
Ses01F_impro05_F000,1,hi .
Ses03M_impro01_M019,0,fine . call your supervisor . ask supervisor over
Ses03M_impro08a_F008,1,okay . well that is that is fine and all . i don t care . i really don t care because i want my phone to work that s all .
Ses02F_script03_2_M042,0,you re not going like this .
Ses01F_script02_1_M029,2,there s like mystery here there s magic . it s like a little bit of the unexplainable . i just can t see how you re not interested .
Ses05M_script03_2_M040,0,ja ! very funny .
Ses04F_impro05_M000,1,welcome to northwest airlines . how can i help you ?
Ses05F_script03_2_F011,2,well it seems silly to go on and on in such a thing .
Ses04M_impro04_M005,1,yeah i tried that . and there was like yeah like i did like one thing once . but like that s not it doesn t last very long . and it s not enough to live on .
Ses01F_script01_1_M037,1,yes . i like it for an hour a day . i don t care if i have to grub for money all day long when i come home i want it happy .
Ses04M_impro02_M033,1,but i ve been trained . you have no training .
Ses04M_script01_1_F022,0,from father s point of view he s not dead . and you have no right to take his girl .
Ses05F_script01_3_M026,2,just about all .
Ses05M_script03_2_M011,2,i think i ll have a little .
Ses02F_impro08_M008,2,okay . so 
Ses05F_impro04_F037,1,i mean anything .
Ses05F_script01_1_F037,1,don t you you can t think like that ! don t think like that !
Ses03F_impro04_F013,1,that s the thing . i don t know . i don t know anything .
Ses04F_script01_1_F025,2,you re a considerate fellow . there s nothing wrong in that .
Ses05M_script03_2_M033,0,because it s very late and you ll disturb the people upstairs .
Ses03M_impro07_M004,2,yeah .
Ses03M_script01_1_F021,2,well i mean you got to make sure your dad s not going 
Ses05M_impro06_M017,2,no you re right . i don t . you re right .
Ses03F_impro08_F026,2,sir 
Ses05M_script03_1_M009,2,things that ought to matter most dreadfully don t matter at all when one s happy do they ?
