wav_file,label,transcription
Ses01M_script02_1_M004,2,oh no i can t tell though . although probably if you can t tell it probably isn t them right yeah . probably going to be like unmistakable right ?
Ses01F_script01_3_M023,3,yeah . i suppose i have been . but it s going from me .
Ses03F_script02_1_M013,2,we should have brought the blanket . oh why didn t we bring the blanket ? our blanket .
Ses03M_impro04_F022,8,you could be an amazing receptionist .
Ses03F_script01_3_M031,3,just about all .
Ses05M_script01_1_M024,4,i don t know why it is but everytime i reach out for something i that i want i have to pull back because i might hurt somebody else . my whole bloody life time after time after time .
Ses03F_script03_2_M027,0,i imagine that you let him kiss you quite a bit more then didn t you ?
Ses04F_impro04_F013,0,i don t even i mean you have to have some kind of an idea . something you could possibly throw out there that i could maybe use .
Ses02M_script02_1_F004,4,but you kept saying my flashlight as if somehow it s just yours . i mean how is it supposed to make me feel ?
Ses01M_script01_3_M012,8,i m sorry i m embarrassing you aren t i ? see i didn t want to do it here i didn t on this porch with this ring i didn t want to win you away from anything .
Ses03M_impro05b_F019,7,okay . sir ? i am sorry to tell you this but this does happen . uh this is not uh really 
Ses02M_impro07_M026,1,i m looking forward to getting there . i mean god the campus is cool you know it s like all just very confined i mean just you know it s a college campus you know it s like
Ses01F_script01_2_M017,0,what have i got to hide ? what the hell is the matter with you kate ?
Ses05F_impro05_F004,7,right .
Ses01F_impro03_F010,1,oh . i hadn t even thought about that .
Ses01F_impro04_M023,7,i just you know think you should try a little harder maybe .
Ses01F_script01_2_M009,4,hey look it s a nice day huh ? why are we arguing ?
Ses04M_impro03_M016,8,um no no no . it ll be in like a park near the beach .
Ses04M_impro06_M017,3,yeah .
Ses05M_impro07_M010,8,no no i m really looking forward to it . you know how long i have been talking about this forever right ? right ?
Ses04F_script02_1_M028,6,for real ?
Ses03M_impro07_F010,1,oh man .
Ses02M_script02_1_F007,4,it s after eleven . let s just go home .
Ses05M_impro08_F025,1,yeah accountability . it s awesome .
Ses05F_impro07_M034,2,tomorrow tomorrow tomorrow 
Ses05F_impro05_M025,7,well we re talking about one bag . you personally made it here didn t you ?
Ses01F_script01_1_M017,7,so all right then i ll just go ahead with it ?
Ses04M_impro06_M010,3,yeah i don t know . sometimes i wish i didn t know him . so i wouldn t 
Ses04M_script03_2_F051,0,never never never . i d rather die in torment . beast brute .
Ses05M_impro04_M040,0,yeah well thanks for your help .
Ses02F_impro03_F019,1,i don t know . i mean i kinda like the idea of having something outside but like is a yeah 
Ses05F_script03_1_M022,2,darling come here and kiss me before your body rots and worms pop in and out of your eye sockets .
Ses01F_script02_1_M011,7,of course our flashlight . what s yours is mine . me flashlight es su flashlight .
Ses05F_impro02_M008,4,the kids 
Ses02F_script02_2_F021,3,no .
Ses03M_script02_2_F033,0,cause everything isn t anything like i thought it would be .
Ses03F_script03_2_M010,7,so am i . bored stiff . want some brandy ?
Ses03F_script03_1_M006,8,hello ? hello ? what ? ugh wrong number .
Ses05F_script02_1_M025,6,for real ?
Ses05F_impro03_M057,1,yeah .
Ses05F_impro02_F017,4,well maybe you should move in with my mom and she can help .
Ses02F_script01_1_M004,8,no . i thought it was best to leave him alone .
Ses03M_impro06_M032,3,he is the greatest . . .everyone liked him .
Ses05F_script01_1_M024,4,i don t know why it is . but every time i reach out for something i want i have to pull back because other people will suffer . my whole bloody life time after time after time .
Ses04M_script02_1_M009,7,are you cold ? do you want my jacket ? we should have brought the blanket our blanket .
Ses03F_script01_3_F004,8,i can t stay .
Ses05F_script01_3_M027,3,takes a little time to toss something like that off you know because they weren t just men 
Ses03M_impro03_F039,8,i can t believe you . i can t believe it . well i m going to be there . i ll be at that wedding but i ll be in the back .
Ses02M_impro06_M018,3,then she s gone .
Ses05M_impro08_F026,1,wow . you know i was thinking about changing internet providers but but that that really is enough to change my mind .
Ses03F_impro06_F032,3,yeah .
Ses05F_script01_3_M017,2,oh annie we re going to live now . i m going to make you so happy .
Ses05F_impro01_F000,7,hi i need an id .
Ses05F_script01_1_F008,3,what s the meaning of that ?
Ses04F_script01_1_F042,0,but don t think that way . you hear me ?
Ses01M_script01_1_F018,8,well i ve got an idea but what s the story ?
Ses01F_impro04_M019,7,yeah .
Ses01M_script03_1_M011,1,ah . . .
Ses05M_impro01_F015,4,there is nothing i can do about it . you need to take this other form and fill it out and go stand in the other line .
Ses05M_script02_2_M035,1,i don t know . i think this is a pretty good spot . i mean look at the view of the moon from here .
Ses05M_impro06_M009,3,i mean one second you think you know you re just having a conversation and then 
Ses01F_script02_2_F009,0,because they never do . have they . . .have they ever ?
Ses05F_impro07_F015,2,awesome .
Ses03M_impro02_F025,3,what could happen in a year ?
Ses05F_impro05_F003,4,yeah i don t know where it was lost . i was coming from africa so .
Ses04F_script02_1_M029,4,i don t get it . the first time we came here to see it you said it was the best night of your life and last year i remember distinctly you were so excited to get here . you stubbed your toe rushing me out the door and didn t even notice until we were in the car .
Ses04F_script02_1_M000,1,what time is it ? they re supposed to run around midnight . this is great isn t it ? look at this night we ve got here . it couldn t be better .
Ses05M_script01_3_M024,8,you remember when i was overseas i was in command of a company ?
Ses02M_script01_3_M000,1,i know it went out of style didn t it ?
Ses05M_impro01_F016,4,they re different forms we process them all different 
Ses03F_script03_2_M039,0,oh very amusing indeed . amanda listen 
Ses03F_script03_1_F025,1,yeah . and that was the first time you ever hit me .
Ses05F_script01_1_F005,3,he cried hard .
Ses04F_impro07_M022,7,uh well 
Ses01M_script03_1_M017,1,you mustn t be so serious darling it just what they want .
Ses04F_script03_2_M029,8,very interesting and how about a child of six and a child of four and a child of nine .
Ses01M_impro05_M021,0,do you know what was in that little bag that i could have just easily put in overhead compartment but no i had to check ?
Ses01M_script03_1_F024,1,i think you re talking nonsense .
Ses01F_script02_2_M041,4,i don t know it seemed like such a good spot to me .
Ses01F_script01_1_F021,4,from your father s point of view he is not dead and chris he still thinks he s still alive . the girl is larry s girl .
Ses03M_script02_2_F031,0,i want things to turn out the way that they re supposed to be .
Ses03M_script01_3_F034,1,what am i going to do with a fortune ?
Ses05F_impro06_F009,3,and he could of . . . he was pretty awesome
Ses02M_script01_1_M003,3,i don t know . when it cracked he ran into the house and cried in the kitchen .
Ses03F_script03_1_F002,5,i mean nobody knows we re here except for freda and she wouldn t ring up .
Ses04M_impro02_M035,4,well i guess we re at a stalemate then aren t we ?
Ses05F_impro03_F051,1,two artists though . we re bound to be poor forever .
Ses02M_impro08_F002,2,it leads you around in circles you can t there is no way to like get to a real person if you don t already know how to get to there .
Ses02M_impro01_M007,0,what ? i you telling me i waited in that huge line to go and sit down and get my number called like after
Ses03F_impro07_F028,2,yeah . i ll get like one of those little 
Ses05M_script02_2_M033,6,really ?
Ses02M_script01_3_F001,1,it s all right . it s a good thing .
Ses05M_script01_3_M009,8,i don t know what to say . i have no imagination . that s all i have to say to you . god i m embarrassing you . i i didn t want to do this here . i i wanted to do it someplace different someplace where we could be new to each other .
Ses03F_impro01_M000,8,yeah .
Ses01M_script01_3_M019,1,i kissed you .
Ses05F_impro08_M016,7,no no no i am grateful .
Ses04M_script03_2_M035,0,no restraint at all very enjoyable . you never had much anyhow .
Ses05M_impro03_M033,1,thank you .
Ses05F_impro07_M029,2,living near the u .s .c . campus by myself not going to school there . just really pathetic and sad .
Ses05M_script02_1_M020,2,and all that about flopping around it s like laying eggs or what do you spawning or mating or something like that .
Ses02F_script02_2_M025,4,you wanna get married again ?
Ses03F_impro06_M013,3,we need more people like him .
Ses01F_impro05_M035,7,or you can make a phone call . but i think a letter might be a little more in my impression letters have more . . .
Ses05F_script02_2_F012,4,for heaven s sake this is not about fish .
Ses01M_script03_1_M012,1,ah . . .strange . . .
Ses02M_impro02_F013,3,our baby needs a dad you can t leave . okay you can t disappear .
Ses05M_impro07_M039,1,and yeah well i mean basically i just applied for any and every possible scholarship and grant that could come by so i can go .
Ses03M_impro08a_F004,7,two two six six .
Ses02F_impro05_F019,0,it sounds like it s such a little like oh well no big deal whatever . it s a big deal to me .
Ses03F_script02_2_M025,4,a new carpet ? a poodle ?
Ses02M_script03_1_M008,1,things that ought to matter dreadfully don t matter at all when one s is happy do they ?
Ses01F_script03_2_M033,0,will you turn that off it s driving me mad .
Ses03F_impro05_F017,0,well get i want the c .e .o . then .
Ses02F_script03_2_M001,7,i knew nothing of the sort . you took presents from him .
Ses05F_script03_1_M017,2,it all depends on how well we played .
Ses04F_script01_1_F005,8,he cried hard ?
Ses01M_script01_3_M008,8,so then would you want to ? i mean i guess you kind of have to know maybe that s why i asked you to come .
Ses05F_impro03_F036,1, laughter 
Ses03M_impro02_F013,3,do this whole thing by myself ?
Ses01M_script03_1_F015,1, laughter don t laugh at me i m being serious .
Ses03F_impro07_F029,2,yeah . those little mattresses . i ll put it by my bed .
Ses05F_script01_3_M040,1,oh annie . annie i am going to make you a fortune !
Ses04M_impro02_M029,4,are you kidding ? please don t be difficult about this .
Ses03M_impro02_M001,3,hey .
Ses02M_impro04_F002,7,right so the fact you doing the best that you can is 
Ses05M_impro04_M019,0,an abrasive vibe ?
Ses05M_impro04_M015,4,but maybe they don t want to hire me because they know me . i don t know what s wrong with me is there something wrong with me ?
Ses03F_script01_2_F011,3,she s faithful as a rock don t you know . in my worst moments i can think of her 
Ses05F_impro03_M068,1,that d be great thanks .
Ses05M_script01_2_M008,4,look it s a beautiful day outside why are we arguing ?
Ses03M_impro08a_M004,7,olivia . um . okay . so how long has this problem been ?
Ses03F_script01_3_M032,3,it takes a little while to toss that off . because they weren t just men .
Ses02M_impro05_M028,4,all right . i m sick i m sick of this all right . i m sick of you and keep your fifty dollar .
Ses02M_impro06_F018,3,yes .
Ses04M_impro06_F014,3,i agree . if i knew how to make that happen i would certainly help you .
Ses05F_impro05_M025,7,well we re talking about one bag . you personally made it here didn t you ?
Ses03F_script03_2_M005,0,you let him kiss you . you said so .
Ses03M_impro06_F005,3,i m so sorry .
Ses04M_impro07_M043,7,well i need to defend myself from
Ses05F_script01_2_M010,4,but kate . . .
Ses01F_script01_1_F034,7,just give it some more thought .
Ses02M_impro06_F015,3,sure
Ses02F_impro02_F007,3,and i mean my daughter i don t want to put her in danger . you know ? she has to stay .
Ses02M_impro01_F022,4,right . so maybe you should go home now and get your paperwork and come back .
Ses01F_script02_2_F012,4,i feel like my whole life is going to be spent standing on this beach with my eyes wide open and my hands clasped expectantly waiting for fish to show up . and the fish never show up .
Ses03F_script03_2_F010,8,no thanks .
Ses03M_impro02_M026,3,maybe get some vacation once it quiets down there .
Ses04F_impro07_M012,8,and you ll be fully loaded .
Ses05F_impro06_M005,3,absolutely absolutely .
Ses05M_impro07_M039,1,and yeah well i mean basically i just applied for any and every possible scholarship and grant that could come by so i can go .
Ses04F_impro02_F013,4,what do you want me to do ?
Ses04M_impro07_M003,2,i did . i did . i ve yeah i applied to u .s .c . . i mean it s really expensive but
Ses04M_script01_2_F010,0,because she knows what i know that s why . she s faithful as a rock . in my worst moments i think of her waiting and i know again that i m right .
Ses02F_script01_3_F015,8,well i was waiting for you . i mean till then you never wrote and when you did i mean what did you say ? you can sure be ambiguous sometimes .
Ses01M_script03_1_M030,1,before your body rots and worms pop out of your eye sockets .
Ses03F_script02_1_F018,4,no for god s sakes we ve never seen the grunions . we re not going to see them .
Ses03M_script01_1_F008,3,he s getting just like he did after he died you know ? what what what s the meaning of this ?
Ses05M_impro03_M012,1,wasn t that great ? i didn t want it to be too hokey .but but she liked it .she liked it .
Ses04M_script01_2_F011,0,nobody in this house dares take her faith away joe . strangers might but not his father not his brother .
Ses04F_impro03_F045,2,so so when are you getting married mr . excited ?
Ses03M_script02_2_M042,1,hey look what we got here .
Ses03M_impro08a_F027,4,yeah yeah woman going out in south central on the payphone at night . oh that s real safe .
Ses05F_script01_1_F027,7,the trouble is you don t see enough women you never have
Ses01M_script01_3_M017,8,oh annie why don t you go ahead and give me a kiss come on just a . . .
Ses05F_impro02_M036,3,all the time every day every day . they have e mail over there and stuff like that right ? i can send you pictures .
Ses05M_script03_2_F023,7,yes i did quite a lot .
Ses04M_impro02_M022,4,i ve asked already . i can t go back .
Ses05F_script01_2_F016,3,you ve got to believe . you ve got to 
Ses02M_script03_1_M006,5,what do we do if they suddenly walk in on us ?
Ses02F_script02_2_M038,3,no i know . but still . i know i don t make you happy .
Ses03M_impro07_F017,1,well i m happy for you but i m happy for me cause that means you re going to stay .
Ses04M_script02_1_M027,8,we just weren t in a good spot . this is a much better spot . i ve got good instincts for these things . look there . what s that ? is that 
Ses03M_impro04_F017,8,just you got to hang in there . can you ask your parents for help or anybody ?
Ses04F_impro03_F017,2,really ?
Ses01M_impro02_M018,3,we re going to be okay .
Ses05M_script01_1b_F034,0,you don t want to think like that .
Ses01M_script02_2_M043,3,maybe if you were with somebody else too ?
Ses01F_script03_2_M014,0,really amanda .
Ses03M_script01_2_F011,3,it s like i know as long as she s waiting i m right again .
Ses05M_script02_1_M025,4,i don t get it . i mean the first time we came you said it was the best night of your life . and last year i remember distinctly you were so excited about coming that you stubbed your toe toe pushing me out the door and you didn t even notice until you got in the car .
Ses02F_impro05_M004,7,uh but we are willing to reimburse you for the bag and and for the contents 
Ses02F_script02_2_M022,7,you want me to go get some champagne ?
Ses05F_script03_2_F016,8,no it s not .
Ses05F_script02_1_M001,2,actually i was hoping to go a little bit further up the coast to get away from the lights and the people but i was afraid i will miss it . how are you doing ?
Ses03M_impro05a_F025,7,i am the manager sir .
Ses01M_impro06_F008,7,how was sick ?
Ses03M_impro03_M035,2,i m so excited . it s going to be great .
Ses05F_impro03_F029,1,right being like oh where are you from ? the u .s . where in the u .s . ? chicago . where in chicago ?
Ses05F_script02_2_F025,3,this what ? what is this ? this isn t even anything .
Ses04M_impro08_F013,4,okay no look i i i i m really i m trying to be patient . i know this isn t your fault . i know that you didn t do it
Ses05M_script02_2_M017,8,okay . all right no problem . i totally understand . okey um listen . do you want to dance ?
Ses02M_script02_1_F003,4,it s ours it s mine too .
Ses03F_impro02_F030,8,but we can work you know we you can write me and we could see pictures
Ses04M_impro05_F011,8,uh no actually no i m not .
Ses02M_impro06_F010,3,and she was
Ses02F_impro03_F014,2,it is good . it s totally good . i mean it like oh you know .
Ses02M_impro02_M004,8,i ll come back we ll have you know some good benefits from being in the service and then we ll live we ll live a happy life then the rest of us like the three of us .
Ses03F_impro07_F005,1,yes what would you want more than anything in this world ?
Ses03M_impro01_M014,0,hey no give me that back .
Ses05F_impro06_M002,3,that s the worst . i m so sorry . did you know him well ?
Ses05M_script01_3_M032,8,and and to see that again to to bring that back on the earth again like like a monument that that would stand behind these men and and and it would make a difference to them .
Ses03F_script01_3_M018,1,you felt something that far back ?
Ses02F_script03_2_M028,4,as i mentioned before i have had three minute liquor glasses of brandy the whole evening long . a child of two couldn t get drunk on that .
Ses04M_impro05_M021,4,you don t understand . you don t understand actually . you don t understand because it was my luggage that was lost . okay .
Ses03M_script02_1_M037,2,somewhere out there there s this huge silver mass of fish heading this way they don t why we don t know why they just some little instinctual fire cracker went off in their bodies . . .
Ses04F_script03_2_F005,0,what of it ?
Ses04M_script02_2_F025,0,no .
Ses03M_impro08b_M017,7,the top of the line camera phone game boy anything you want . for free . and palm pilot .
Ses01M_impro07_M022,6,it s totally a sport . what are you talking about ?
Ses04M_impro01_M013,4,come on . will you please ? i just i look i cannot just if i 
Ses02M_impro06_F002,3,it doesn t make any easier yes .
Ses03M_impro08b_F014,4,brent backersen i am writing this down brent backersen . alright .
Ses05M_script03_1_M016,2,certainly you must . we are figures of fun all right .
Ses04F_script01_1_M034,0,i ve given it three years of thought . i hoped that if i waited dad would forget about larry
Ses01M_script03_2_M020,8,as matter the fact that s perfectly true .
Ses01M_impro05_M031,0,thank you very much .
Ses05M_script01_1_F036,0,just don t think that way . do you hear me ?
Ses05F_script02_2_F013,3,augie do you remember the first time we came to see it ? it was about four years ago right after we got married and we thought i was pregnant .
Ses04F_impro05_M016,4,it s part of the small it s part of the agreement when you re purchasing an airline ticket there s when you 
Ses01M_script01_1_F015,0,to you it is to me it is . but to your father ? you can talk yourself til you re blue in the face but there s was no grave and there is no body . so where are you ?
Ses01F_impro01_M002,4,who told you to get in this line ?
Ses04F_impro05_F016,0,i want to talk to your supervisor .
Ses05F_script01_1_M027,8,well if she does then that s the end of it but from her letters it sounds like she s forgotten about it . i ll find out and then we ll thrash it out with dad all right ? mom don t avoid me .
Ses04F_script01_3_F028,8,that includes me . and your money there s nothing wrong in your money . your father put hundreds of planes in the air .
Ses01F_script03_2_M027,0,that s very interesting amanda . how about a child of four ? or a child of six ? or a child of nine ? we can get a good little conversation going on about this you know intemperate tots .
Ses01F_script01_1_F028,4,oh that s a great reason . it s no reason at all .
Ses02M_script03_1_M022,2,come kiss me darling before your body rots and worms pop in and out of your eye sockets .
Ses03M_impro01_F019,4,who will proceed to call security if you can t remove yourself 
Ses02M_script03_1_F022,1,oh charles that was his name charles . it did wiggle so beautifully .
Ses02M_impro04_M008,8,well and that s what i begin to question after a while is maybe i just don t want it maybe it s not even worth it you know like
Ses04M_impro03_F004,2,did she cry ?
Ses04F_impro03_M035,7,well i can t be in charge of this . i mean i got things i got to do .
Ses03F_impro04_M019,7,close to thirty . oof it s going to be tough .
Ses04M_script02_2_M028,8,a new carpet ? a poodle ? an ice cream ? a back rub ? a suicide pact ? what ? what carla ? what the hell do you want ?
Ses01M_impro06_F017,7,the plans you make garbage .
Ses04M_impro04_M002,4,i i m not kidding . i ve tried everything . like i ve gone to every business and local you know 
Ses02F_impro07_M028,2,you ll be like are you a fan or a student you know ? student . laughter oh man that s awesome .
Ses01F_impro04_M012,7,yeah . do you have a resume ?
Ses04F_impro07_F010,2,do you want to buy me some mace for my you know going away present ?
Ses02F_impro05_F013,4, breathing well sure yeah i guess i ll go buy dinner and then be have nothing for the rest of my entire vacation . i m supposed to be here for three weeks . what am i gonna do without anything for three weeks ?
Ses04M_impro07_M001,2,i m going to u .s .c . . yeah .
Ses02F_script02_1_M003,2,how you doing ?
Ses04M_impro06_M014,3,i don t know what to do .
Ses03M_script03_1_F005,2,that sent shivers up my spine .
Ses01M_impro03_F012,2,like make her rent the apartment that you two have to live together in you know . and you won t pay any rent or you pay like a hundred bucks a month or something .
Ses03M_impro03_M028,7,about two and a half weeks .
Ses04M_script02_2_F022,4,no .
Ses05F_impro03_M031,2,and now you re getting married .
Ses02M_script01_3_F013,1,every day since .
Ses03M_script01_1_M012,0,that we haven t had any hope for years now ?
Ses01M_impro07_M022,6,it s totally a sport . what are you talking about ?
Ses03F_impro07_F007,2,i got u .s .c . . i got yeah i got the acceptance letter .
Ses01F_script02_1_F010,3,i m cold .
Ses03F_impro01_M006,4,it s not right .
Ses05M_impro03_F019,2,oh i m so excited for you .
Ses04M_impro03_M024,1,but you know it s like i really love her and i really just i can t imagine spending my life with anybody else but her . so you know it s like i know that s the right thing . and if you have to you know if you have to question that you know don t don t do it . so we re going to do it .
Ses04M_impro02_F008,4,why not ? you could at least try . they have to understand
Ses04F_script02_2_F009,0,for heaven s sake grow up we are not going to see the grunions .
Ses02M_impro04_M022,3,right . thanks for talking to me .
Ses04F_script01_3_M010,1,i have no imagination that s all i know to tell you .
Ses03M_impro01_F008,4,you need to go back over there and fill it out again .
Ses03F_script02_2_F013,4,i do .
Ses05M_impro07_M005,2,yes .
Ses01F_script03_1_M008,1,what shall we do if they suddenly walk in on us . laughter 
Ses03F_script01_3_M034,3,i mean that s that s only a little thing but that s the kind of guys i had . they didn t just die . they killed themselves for each other . and i mean that exactly . a little more selfish and they d still be here today .
Ses01F_script01_2_M007,4,you can t read her mind .
Ses01F_script02_1_M030,6,for real ?
Ses02M_script03_1_M029,1,that was a rouser wasn t it ?
Ses05F_script01_3_F000,1,you re the only one i know who loves his parents .
Ses02M_impro05_F025,7,well because lots of people get their baggage lost and we don t want to have false claims or anything like that so we have
Ses03F_impro03_F011,2,he asked me to marry him like onstage . i was like i couldn t believe and i had to walk up there and i was like i think i tripped or something .
Ses02F_script03_1_F017,7,well what happens if one of us dies ? i mean does the one that s left still laugh ?
Ses04M_impro08_F019,6,really ?
Ses04M_script03_2_M002,8,i shall never forget his face .
Ses04M_script03_1_F014,2,how long will it last this ludicrous and overbearing love of ours ?
Ses05M_impro01_M001,8,what do you mean ? i filled out my forms and i rushed to get my i .d .
Ses03F_script01_1_M033,4,so what ? i m not fast with women .
Ses05M_impro03_F018,2,yes .
Ses04M_impro05_M034,4,but no . see cause
Ses03F_script01_3_M039,3,and i went to work with dad and that rat race again . and i felt what you said ashamed somehow . because nobody was changed at all . it seemed to make a sucker out of a lot of guys .
Ses05F_impro03_M023,8,are you going to do it in town or are you out of town ?
Ses01F_impro05_F022,0,who s in charge ? who is the president of jet blue ?
Ses05F_impro04_F033,4,yeah i always think so but i i just feel like it s a lot of lip service everywhere i go .
Ses02F_impro05_M000,7,um okay it didn t didn t come out on the carrousel 
Ses01M_script01_1_M039,8,i know i know .
Ses05M_script01_1b_F033,0,must you be inspired ?
Ses03M_impro03_M008,8,barry what s this ? and i go i don t know . she goes 
Ses04F_impro07_M060,7,i just said the library
Ses04M_impro07_F004,2,that s amazing . i ve seen it on tv . um wow . i mean well what are you going to major in ? what are you going to do ?
Ses01M_script03_2_M033,0,well then you ll wake the people downstairs .
Ses02F_impro02_F003,3,i don t think so .
Ses05M_script03_2_F029,4,you re not very funny dear . you better have some more brandy .
Ses01F_script01_1_F012,4,to you it is to me it is but to your father you can talk yourself until you are blue in the face . but there is no grave and there is no body so where are you ?
Ses02M_script01_1_F019,4,i m just saying
Ses03M_impro05b_M024,0,in all thousand flights i ve been on probably i can t even count how many flights i ve been on . this has never happened before .
Ses04M_impro03_F005,2,oh my god . how long have you been planning on doing this ?
Ses01M_impro05_F016,7,i had nothing to do with the boarding attendance . i m sorry that your seat was wherever it was .
Ses01M_impro07_M002,2,for softball . they re going to pay me to go to school . isn t that awesome ?
Ses05F_script02_1_F009,8,that s my point .
Ses04F_script01_3_M029,3,just about all .
Ses04M_impro06_F019,3,i mean as as cliche as it is as long as people who loved him remember him then it s not a waste you know .
Ses05M_script01_3_M010,2,you feel it s wrong here don t you this yard this chair ? i want you to be ready for me annie . i i don t want to win you away from anything .
Ses03F_script01_3_F024,8,what is it ?
Ses05F_impro08_F025,7,yeah .
Ses05M_impro04_F013,7,maybe garbage .
Ses03M_script03_2_F009,8,no thanks .
Ses01F_impro04_F033,0,i can not you are not here by choice . nobody would ride this bus by choice .
Ses03F_script01_3_M014,1,i m embarrassing you . i didn t want to tell you it here . i wanted to go somewhere that would be brand new to each other . it feels wrong here don t you ? this yard and this chair .
Ses01F_impro02_M005,3,i don t know how you can be okay with this ? i don t know why you re not you re fine with it .
Ses05M_script01_3_F012,1,everyday since .
Ses03M_impro06_F005,3,i m so sorry .
Ses01M_script02_1_F010,4,i m cold .
Ses05F_impro02_M015,0,it doesn t make any sense . it s stupid . i told you you shouldn t go in the army .
Ses05M_script02_1_F010,8,not particularly .
Ses05F_impro05_F008,4,right well can you get on the computer maybe and like track it down and see when it s going to get here ?
Ses05F_script02_2_M033,3,no i know but . i know i don t make you happy .
