wav_file,label,transcription
Ses03F_impro02_M022,4,what if you don t come back ?
Ses02M_script02_2_F005,0,goddamn it augie don t ask me that . i hate it when you ask me that . you always ask me that . it s insulting .
Ses01M_impro06_F027,7,yeah .
Ses05F_impro08_M014,4,it was one ninety eight sixty three . i paid the minimum .
Ses05F_script02_2_F024,4,i want something to turn out the way it is suppose to turn out .
Ses02M_script03_2_F014,0,what ?
Ses04F_impro04_M010,4,i don t know . i mean whatever .
Ses01F_impro06_F025,3,but i mean she could but it was so it was kind of sitting at her feet holding her up and she had these poems she had memorized . and i remember looking up she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head . it was cool .
Ses01M_script03_2_M031,0,that s a very good idea i think i will .
Ses04F_impro05_M021,4,i am i am i am my own supervisor .
Ses05M_script01_1b_F035,4,all right . but don t think like that because what the hell did we work for chris ? all of this all of it it s all just for you .
Ses02F_impro05_M002,7,uh well some some of the bags were were lost on the way over here . uh 
Ses04M_impro08_F008,4,so can you please refund the mischarged charges
Ses03F_impro02_F028,3,what do you mean ?
Ses05M_impro04_M028,4,see what i mean ? you can t even think of anything .
Ses03F_script01_1_F016,8,three years has been a long time .
Ses04F_script03_1_M001,5,i wonder .
Ses04F_script02_2_F032,8,i want something to turn out the way it s supposed to .
Ses04F_script03_2_F028,0,oh shut up .
Ses04F_impro07_F068,8,lots of money and
Ses01M_impro06_F007,7,was it an accident ?
Ses02M_script01_3_F019,3,well what s wrong ? i mean even in your letters there was some something ashamed .
Ses05F_impro03_M062,1,oh thanks you re too nice
Ses01M_script01_3_M001,1,you re not sorry you came ?
Ses03M_script01_2_F009,0,i mean her faith is stronger than a rock .
Ses03F_impro02_M006,4,god we re supposed to take a look at a house next week .
Ses03M_script01_3_F025,8,tell me what s wrong . i mean even in your letters you seemed ashamed .
Ses01M_script02_2_M047,8,i don t know just seemed like such a good spot to me .
Ses03M_impro04_M003,8,last time someone told me i was too qualified .
Ses05M_impro01_M002,8,the wrong form ?
Ses05M_impro03_M019,7,oh she s back at work . yeah .
Ses05M_script03_1_F027,8,that was the first time you hit me .
Ses02M_script02_2_M046,1,or not .
Ses02F_script03_1_F023,1,charles . that was his name . charles . he did wriggle so beautifully .
Ses03M_impro08b_M015,7,it will be free . no contract okay ?
Ses03M_impro04_F016,8,well it doesn t make any sense though . like with a harvard degree you should be able to 
Ses04M_impro06_F004,3,but i m here if there s anything you need . i mean you just have to ask . i know 
Ses01M_script02_2_M000,8,they re out there swimming right now . . .
Ses05M_impro05_M003,7,and so i waited there but nothing came .
Ses01M_script03_1_M027,8,ah so is everyone in the long run huh ?
Ses04F_script01_3_M004,0,what ?
Ses03M_impro02_F034,3,yeah .
Ses03M_impro08a_F023,4,well you re not helping me at all . god this is so frustrating .
Ses03M_impro02_F010,4,you can t . we need you . i need you .
Ses05M_script01_1_M035,0,i have been a good son for too long . a good sucker . i m through with it .
Ses03F_impro03_M002,2,oh jesus .
Ses03M_script02_2_M018,4,and then i m putting the animals out in the yard i m pulling the car out of the garage putting my jacket on .
Ses02M_impro07_M003,8,yeah oh . i you have no 
Ses01M_impro05_M013,8,it was right in the middle of five different people . i had a huge fat lady next me a crying kid on left i went like can i please get a bloody mary please ? will you bring a bloody mary ?
Ses04M_impro01_M006,4,are you telling me you don t have a stack of them behind the desk ?
Ses02M_script02_2_M040,1,now that you mention it . no i don t .
Ses03M_script01_1_F037,8,are you crazy ?
Ses04F_script01_3_M016,8,you felt something that far back ?
Ses03F_script02_2_M018,8,you want this to be like the other time right ? that s it . right ?
Ses01M_script01_3_F008,7,from her point of view why else would i come ?
Ses01M_script03_2_M015,8,hmm . well you needn t be so grand just because you don t happen to want any at the moment okay ?
Ses04M_script02_1_F012,0,i just don t . it s stupid .
Ses02F_impro01_M007,4,i know it gets long but i can t do anything without your do you have social security card maybe ?
Ses03F_script02_2_M032,4,right .
Ses04M_impro02_F022,4,well it doesn t seem like you re that bothered by it .
Ses02M_impro08_F027,7,yeah totally .
Ses04M_impro04_M011,4,no but i m try but like all the things that i it s like i apply to all these places and none of them
Ses02M_script03_1_M011,1,what does it all mean that s what i ask that s what i ask myself in my ceaseless quest for ultimate truth ? good god what does it all mean ?
Ses05F_script01_2_M002,7,what did you mean ? he lived next door to the girl all of his life why wouldn t he want to see her again ? don t look at me like that he didn t tell me any more than he told you .
Ses02F_impro03_M021,8,you guys are awesome together . it s definitely a definitely a good couple . i can see it . i should ve guessed 
Ses02F_impro03_F006,8,so after we sort of went out dinner and i was already like tired . i wasn t all that excited and and so he s like let s go down to the beach and i was like no i don t want to the beach like i m tired . and he s like no no we have to go . and i was like okay like that s a little weird .
Ses03M_impro05b_M014,0,okay so you can put me in holiday inn for twenty dollar a night ?
Ses05M_impro08_F010,8,oh really ?
Ses04M_script01_1_M035,8,i ll get out . i ll get married and live someplace else . maybe new york .
Ses05F_script01_1_F007,3,it s getting just like after larry died he s having dreams he s walking around at night .
Ses01M_script01_2_F003,8,it s got that about it .
Ses05F_script01_3_M025,3,yeah . i lost them .
Ses02F_script02_1_F019,7,we didn t see them the first time either .
Ses04F_script01_2_M009,4,how do you know why she waited ?
Ses04F_script01_1_M013,0,for god s sake three years . nobody comes back after three years . it s insane .
Ses01F_impro05_M027,7,with the amount of 
Ses01M_impro01_F020,0,don t talk to me like i m a child .
Ses01F_impro06_F011,3,and i you know i mean i said i was sorry and i brought it back to her kind of and i like put it on the ground and she was like no it s fine . she was like i would rather have her back honestly .
Ses02M_script03_1_M004,8,i don t care then .
Ses01M_script01_2_F001,0,it s been three and a half years . why all of a sudden ?
Ses02F_impro08_F021,7,all right . great . well we have a very open flight that leaves at nine a .m . and fortunately uh the time change actually goes um backwards from that .
Ses03M_script01_1_F010,8,what do you mean dishonest ?
Ses05F_script02_2_F015,1,and i remember thinking finally finally . i am as happy as i am supposed to be .
Ses02F_script01_1_M035,8,i ll get out . i ll get married and go live some place else . maybe new york .
Ses05M_script03_2_F034,0,very well . if you have to be boorish and idiotic .
Ses04M_script02_2_F036,1,yeah i noticed that . looks pretty on the water doesn t it ? big ol white moon . i m sorry augie .
Ses04M_script02_2_M001,7,what i said .
Ses01M_impro07_M026,7,yeah we have like away games and stuff .
Ses01M_script01_3_M014,7,why didn t you ?
Ses02M_script01_2_M007,7,you can t read her mind .
Ses01M_script03_2_F018,8,oh no it isn t .
Ses01M_impro02_F011,8,me ? i m not worried about me .
Ses02F_impro06_M003,7,yeah .
Ses04M_script01_1_M029,4,because it is .
Ses04M_impro06_M005,3,i just it s just not fair .
Ses02F_impro05_M000,7,um okay it didn t didn t come out on the carrousel 
Ses04F_impro04_F024,4,buck o . that s really helpful . just keep chugging along . the little engine that could .
Ses02F_script02_2_M038,3,no i know . but still . i know i don t make you happy .
Ses02F_impro02_M005,4,what if maybe what if uh we went somewhere over there ? i don t i don t know i i need to figure something out for this because 
Ses04M_script02_1_F005,0,yes .
Ses04F_impro02_M022,8,yes you don t have to go . what are they going to do ? huh ? put a gun to your head ?
Ses03M_impro05b_M001,4,i ve been here for four hours and i don t know where one piece of my luggage is
Ses04M_script02_1_F003,0,it s ours . it s mine too .
Ses01M_script03_2_F014,8,do be quiet .
Ses03M_script02_2_F012,4,look it s pointless . it s . . .we re not going to see the grunions i mean it s like waiting around to see santa claus you know it s . . .
Ses02M_impro02_M006,8,you gotta
Ses02F_impro03_F012,2,you didn t know anything ?
Ses01F_script01_1_M010,7,we ve got to say it to him .
Ses03F_impro02_F042,3,i m sorry babe .
Ses05M_script01_1_F008,8,what ?
Ses05M_script01_3_M001,2,so you re not sorry i came ?
Ses03M_impro03_F000,8,hey .
Ses04M_impro04_F009,7,i mean i m not saying that you should you know 
Ses01F_script02_1_F005,8,it s ours it s my flashlight too .
Ses02F_impro07_F007,2,i know . i know . and we ll all get to hang out . and i m even though we ll be at like at different parts of the city we can still like . . .
Ses01M_impro07_M004,2,i know . for softball yeah .
Ses02F_script03_2_M019,4,yes it is .
Ses04F_impro03_F047,2,you haven t ruined it yet .
Ses05M_script03_1_F009,8,well it s true . the whole business is a very poor joke .
Ses04M_script01_1_F031,4,alright then mom .
